10:49:58.288 ERROR vert.x-eventloop-thread-0 ConnectionBase       : java.io.IOException: Se ha forzado la interrupción de una conexión existente por el host remoto
10:50:07.718 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:07.719 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|9247ms
10:50:07.719 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:07.933 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|9461ms
10:50:07.933 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:08.136 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|9664ms
10:50:08.137 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:08.206 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|9734ms
10:50:08.206 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:08.253 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|9781ms
10:50:08.254 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:08.390 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|9918ms
10:50:08.391 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:08.648 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|10176ms
10:50:08.648 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:08.931 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|10459ms
10:50:08.931 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:09.354 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|10881ms
10:50:09.355 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:09.357 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|10885ms
10:50:09.357 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:09.386 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|10914ms
10:50:09.386 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:09.612 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11139ms
10:50:09.613 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:09.696 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|11223ms
10:50:09.697 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
